plant_name,end_datetime,period_hours,energy_kwh
경주풍력,2023-01-01T01:00:00+09:00,1,18126.60572887884
경주풍력,2023-01-01T02:00:00+09:00,1,18004.315721999803
경주풍력,2023-01-01T03:00:00+09:00,1,17974.412727296833
경주풍력,2023-01-01T04:00:00+09:00,1,17905.437521652824
경주풍력,2023-01-01T05:00:00+09:00,1,17309.587200876776
경주풍력,2023-01-01T06:00:00+09:00,1,16895.543478524676
경주풍력,2023-01-01T07:00:00+09:00,1,17372.719873996128
경주풍력,2023-01-01T08:00:00+09:00,1,17673.182931038948
경주풍력,2023-01-01T09:00:00+09:00,1,17502.705777153285
경주풍력,2023-01-01T10:00:00+09:00,1,17604.49815498407
경주풍력,2023-01-01T11:00:00+09:00,1,16349.130543778683
경주풍력,2023-01-01T12:00:00+09:00,1,15937.081253161745
경주풍력,2023-01-01T13:00:00+09:00,1,15713.738497509843
경주풍력,2023-01-01T14:00:00+09:00,1,16477.52186729912
경주풍력,2023-01-01T15:00:00+09:00,1,16999.654834882018
경주풍력,2023-01-01T16:00:00+09:00,1,16813.6689760522
경주풍력,2023-01-01T17:00:00+09:00,1,16799.957073603033
경주풍력,2023-01-01T18:00:00+09:00,1,17118.658367103846
경주풍력,2023-01-01T19:00:00+09:00,1,15945.308886077597
경주풍력,2023-01-01T20:00:00+09:00,1,16402.723812693213
경주풍력,2023-01-01T21:00:00+09:00,1,17228.868187392534
경주풍력,2023-01-01T22:00:00+09:00,1,17313.773342100056
경주풍력,2023-01-01T23:00:00+09:00,1,17261.37415457779
경주풍력,2023-01-02T00:00:00+09:00,1,17960.829396330108
경주풍력,2023-01-02T01:00:00+09:00,1,17848.899431700745
경주풍력,2023-01-02T02:00:00+09:00,1,18032.520209639897
경주풍력,2023-01-02T03:00:00+09:00,1,17455.28661009501
경주풍력,2023-01-02T04:00:00+09:00,1,17235.482903450036
경주풍력,2023-01-02T05:00:00+09:00,1,16893.65138817457
경주풍력,2023-01-02T06:00:00+09:00,1,16899.480792498958
경주풍력,2023-01-02T07:00:00+09:00,1,16360.39504673922
경주풍력,2023-01-02T08:00:00+09:00,1,15917.64864271088
경주풍력,2023-01-02T09:00:00+09:00,1,16944.081240959396
경주풍력,2023-01-02T10:00:00+09:00,1,16488.559483193065
경주풍력,2023-01-02T11:00:00+09:00,1,15383.402319170473
경주풍력,2023-01-02T12:00:00+09:00,1,15102.835584277247
경주풍력,2023-01-02T13:00:00+09:00,1,15453.823658424444
경주풍력,2023-01-02T14:00:00+09:00,1,14479.71590655682
경주풍력,2023-01-02T15:00:00+09:00,1,12913.035109651475
경주풍력,2023-01-02T16:00:00+09:00,1,12045.852367774909
경주풍력,2023-01-02T17:00:00+09:00,1,11866.986117378168
경주풍력,2023-01-02T18:00:00+09:00,1,12955.439127701826
경주풍력,2023-01-02T19:00:00+09:00,1,13789.902951487671
경주풍력,2023-01-02T20:00:00+09:00,1,15590.616271785038
경주풍력,2023-01-02T21:00:00+09:00,1,16444.978217474832
경주풍력,2023-01-02T22:00:00+09:00,1,17368.238118263755
경주풍력,2023-01-02T23:00:00+09:00,1,17404.231304379577
경주풍력,2023-01-03T00:00:00+09:00,1,17467.50932151463
경주풍력,2023-01-03T01:00:00+09:00,1,17872.383463576214
경주풍력,2023-01-03T02:00:00+09:00,1,17566.80789245425
경주풍력,2023-01-03T03:00:00+09:00,1,18488.354357772536
경주풍력,2023-01-03T04:00:00+09:00,1,18684.489942545282
경주풍력,2023-01-03T05:00:00+09:00,1,18706.02172635684
경주풍력,2023-01-03T06:00:00+09:00,1,18416.75202696906
경주풍력,2023-01-03T07:00:00+09:00,1,18277.67698213507
경주풍력,2023-01-03T08:00:00+09:00,1,17931.889973601275
경주풍력,2023-01-03T09:00:00+09:00,1,17170.141646197153
경주풍력,2023-01-03T10:00:00+09:00,1,18101.222928151637
경주풍력,2023-01-03T11:00:00+09:00,1,17462.725455157655
경주풍력,2023-01-03T12:00:00+09:00,1,16691.487236869587
경주풍력,2023-01-03T13:00:00+09:00,1,16582.766591271255
경주풍력,2023-01-03T14:00:00+09:00,1,15993.40772851936
경주풍력,2023-01-03T15:00:00+09:00,1,15424.884600357946
경주풍력,2023-01-03T16:00:00+09:00,1,16021.48778675891
경주풍력,2023-01-03T17:00:00+09:00,1,16374.460983863173
경주풍력,2023-01-03T18:00:00+09:00,1,16998.525738295244
경주풍력,2023-01-03T19:00:00+09:00,1,16718.57878984186
경주풍력,2023-01-03T20:00:00+09:00,1,17764.761412840828
경주풍력,2023-01-03T21:00:00+09:00,1,17707.96166507387
경주풍력,2023-01-03T22:00:00+09:00,1,17946.351410905343
경주풍력,2023-01-03T23:00:00+09:00,1,17983.244766364554
경주풍력,2023-01-04T00:00:00+09:00,1,18071.594363103824
경주풍력,2023-01-04T01:00:00+09:00,1,17413.770830439516
경주풍력,2023-01-04T02:00:00+09:00,1,17871.53186538229
경주풍력,2023-01-04T03:00:00+09:00,1,18159.63422351424
경주풍력,2023-01-04T04:00:00+09:00,1,18413.70115889429
경주풍력,2023-01-04T05:00:00+09:00,1,18386.389139783463
경주풍력,2023-01-04T06:00:00+09:00,1,18355.469280856734
경주풍력,2023-01-04T07:00:00+09:00,1,18717.99553789831
경주풍력,2023-01-04T08:00:00+09:00,1,18603.619228812786
경주풍력,2023-01-04T09:00:00+09:00,1,18328.031126989506
경주풍력,2023-01-04T10:00:00+09:00,1,18502.048942949823
경주풍력,2023-01-04T11:00:00+09:00,1,18659.109802253377
경주풍력,2023-01-04T12:00:00+09:00,1,18342.918478951244
경주풍력,2023-01-04T13:00:00+09:00,1,17622.27174092083
경주풍력,2023-01-04T14:00:00+09:00,1,16578.74517163515
경주풍력,2023-01-04T15:00:00+09:00,1,15894.59632024182
경주풍력,2023-01-04T16:00:00+09:00,1,15186.858653649164
경주풍력,2023-01-04T17:00:00+09:00,1,14920.606699354732
경주풍력,2023-01-04T18:00:00+09:00,1,14478.020415086903
경주풍력,2023-01-04T19:00:00+09:00,1,15927.183474141024
경주풍력,2023-01-04T20:00:00+09:00,1,17053.281474905834
경주풍력,2023-01-04T21:00:00+09:00,1,18009.379292656013
경주풍력,2023-01-04T22:00:00+09:00,1,18127.051386844596
경주풍력,2023-01-04T23:00:00+09:00,1,17377.06171549542
경주풍력,2023-01-05T00:00:00+09:00,1,16559.87604057302
경주풍력,2023-01-05T01:00:00+09:00,1,16826.05667910229
경주풍력,2023-01-05T02:00:00+09:00,1,16499.83879608552
경주풍력,2023-01-05T03:00:00+09:00,1,17545.549936822936
경주풍력,2023-01-05T04:00:00+09:00,1,17120.54046441502
경주풍력,2023-01-05T05:00:00+09:00,1,16243.039606989376
경주풍력,2023-01-05T06:00:00+09:00,1,15069.538783020049
경주풍력,2023-01-05T07:00:00+09:00,1,13584.421688576822
경주풍력,2023-01-05T08:00:00+09:00,1,12453.294865220949
경주풍력,2023-01-05T09:00:00+09:00,1,12516.957620687182
경주풍력,2023-01-05T10:00:00+09:00,1,10585.397125516369
경주풍력,2023-01-05T11:00:00+09:00,1,10846.326785550496
경주풍력,2023-01-05T12:00:00+09:00,1,10980.57946835948
경주풍력,2023-01-05T13:00:00+09:00,1,13382.264148138041
경주풍력,2023-01-05T14:00:00+09:00,1,12007.176013645265
경주풍력,2023-01-05T15:00:00+09:00,1,11404.078352482697
경주풍력,2023-01-05T16:00:00+09:00,1,12182.564592881632
경주풍력,2023-01-05T17:00:00+09:00,1,11838.420930583234
경주풍력,2023-01-05T18:00:00+09:00,1,12928.154604762134
경주풍력,2023-01-05T19:00:00+09:00,1,14986.537345776924
경주풍력,2023-01-05T20:00:00+09:00,1,16626.06845226802
경주풍력,2023-01-05T21:00:00+09:00,1,16689.59785771442
경주풍력,2023-01-05T22:00:00+09:00,1,18109.6002802829
경주풍력,2023-01-05T23:00:00+09:00,1,18071.684691427712
경주풍력,2023-01-06T00:00:00+09:00,1,16755.24259222951
경주풍력,2023-01-06T01:00:00+09:00,1,17369.281762930823
경주풍력,2023-01-06T02:00:00+09:00,1,18313.597354324596
경주풍력,2023-01-06T03:00:00+09:00,1,18362.98299890796
경주풍력,2023-01-06T04:00:00+09:00,1,18358.395431964436
경주풍력,2023-01-06T05:00:00+09:00,1,18334.277641515884
경주풍력,2023-01-06T06:00:00+09:00,1,18281.706335731367
경주풍력,2023-01-06T07:00:00+09:00,1,18110.984636745477
경주풍력,2023-01-06T08:00:00+09:00,1,18232.560735717252
경주풍력,2023-01-06T09:00:00+09:00,1,17291.094965568776
경주풍력,2023-01-06T10:00:00+09:00,1,16375.868006214143
경주풍력,2023-01-06T11:00:00+09:00,1,14147.700487084376
경주풍력,2023-01-06T12:00:00+09:00,1,10490.83195125687
경주풍력,2023-01-06T13:00:00+09:00,1,4201.370613348245
경주풍력,2023-01-06T14:00:00+09:00,1,2737.87063944306
경주풍력,2023-01-06T15:00:00+09:00,1,2717.498609120209
경주풍력,2023-01-06T16:00:00+09:00,1,1908.6695334424985
경주풍력,2023-01-06T17:00:00+09:00,1,1078.4201684926102
경주풍력,2023-01-06T18:00:00+09:00,1,1126.8692355130743
경주풍력,2023-01-06T19:00:00+09:00,1,727.5961093075875
경주풍력,2023-01-06T20:00:00+09:00,1,2407.401784445863
경주풍력,2023-01-06T21:00:00+09:00,1,4486.174562125589
경주풍력,2023-01-06T22:00:00+09:00,1,6616.6171396094605
경주풍력,2023-01-06T23:00:00+09:00,1,10002.111024901418
경주풍력,2023-01-07T00:00:00+09:00,1,7448.5553973842925
경주풍력,2023-01-07T01:00:00+09:00,1,7360.368769367795
경주풍력,2023-01-07T02:00:00+09:00,1,9346.338125603028
경주풍력,2023-01-07T03:00:00+09:00,1,9977.446102418733
경주풍력,2023-01-07T04:00:00+09:00,1,8811.54046400537
경주풍력,2023-01-07T05:00:00+09:00,1,9620.06906687041
경주풍력,2023-01-07T06:00:00+09:00,1,12411.874497910263
경주풍력,2023-01-07T07:00:00+09:00,1,15130.347619947319
경주풍력,2023-01-07T08:00:00+09:00,1,14583.772267260867
경주풍력,2023-01-07T09:00:00+09:00,1,15706.564097431707
경주풍력,2023-01-07T10:00:00+09:00,1,17457.621246552466
경주풍력,2023-01-07T11:00:00+09:00,1,18110.778287427995
경주풍력,2023-01-07T12:00:00+09:00,1,17101.867162094124
